school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3,StudentID,Cluster
"GP;""F"";18;""U"";""GT3"";""A"";4;4;""at_home"";""teacher"";""course"";""mother"";2;2;0;""yes"";""no"";""no"";""no"";""yes"";""yes"";""no"";""no"";4;3;4;1;1;3;6;""5"";""6"";6",1,0
"GP;""M"";15;""U"";""LE3"";""A"";3;2;""services"";""other"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;2;2;1;1;1;0;""16"";""18"";19",9,0
"GP;""M"";15;""U"";""GT3"";""T"";3;4;""other"";""other"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";5;5;1;1;1;5;0;""14"";""15"";15",10,0
"GP;""M"";15;""U"";""LE3"";""T"";4;4;""health"";""services"";""course"";""father"";1;1;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;1;3;5;2;""14"";""14"";14",13,0
"GP;""M"";15;""U"";""GT3"";""T"";4;3;""teacher"";""other"";""course"";""mother"";2;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";5;4;3;1;2;3;2;""10"";""10"";11",14,0
"GP;""M"";15;""U"";""GT3"";""A"";2;2;""other"";""other"";""home"";""other"";1;3;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";4;5;2;1;1;3;0;""14"";""16"";16",15,0
"GP;""M"";15;""U"";""GT3"";""T"";4;3;""teacher"";""other"";""reputation"";""mother"";1;2;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;4;1;1;1;1;0;""13"";""14"";15",21,0
"GP;""M"";15;""U"";""GT3"";""T"";4;4;""health"";""health"";""other"";""father"";1;1;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";5;4;2;1;1;5;0;""12"";""15"";15",22,0
"GP;""M"";15;""U"";""GT3"";""T"";2;2;""other"";""other"";""home"";""mother"";1;1;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;2;2;1;2;5;2;""12"";""12"";11",27,0
"GP;""M"";15;""U"";""GT3"";""T"";4;2;""health"";""services"";""other"";""mother"";1;1;0;""no"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";2;2;4;2;4;1;4;""15"";""16"";15",28,0
"GP;""M"";16;""U"";""LE3"";""A"";3;4;""services"";""other"";""home"";""mother"";1;2;0;""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;3;3;1;1;5;4;""11"";""11"";11",29,0
"GP;""M"";16;""U"";""GT3"";""T"";4;4;""teacher"";""teacher"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";4;4;5;5;5;5;16;""10"";""12"";11",30,0
"GP;""M"";15;""U"";""GT3"";""T"";4;4;""health"";""services"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""no"";""yes"";""yes"";""no"";5;4;2;3;4;5;0;""9"";""11"";12",31,0
"GP;""M"";15;""U"";""GT3"";""T"";4;4;""services"";""services"";""reputation"";""mother"";2;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;1;1;1;5;0;""17"";""16"";17",32,0
"GP;""M"";15;""R"";""GT3"";""T"";4;3;""teacher"";""at_home"";""course"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";4;5;2;1;1;5;0;""17"";""16"";16",33,0
"GP;""M"";15;""U"";""LE3"";""T"";3;3;""other"";""other"";""course"";""mother"";1;2;0;""no"";""no"";""no"";""yes"";""no"";""yes"";""yes"";""no"";5;3;2;1;1;2;0;""8"";""10"";12",34,0
"GP;""M"";16;""U"";""GT3"";""T"";3;2;""other"";""other"";""home"";""mother"";1;1;0;""no"";""yes"";""yes"";""no"";""no"";""yes"";""yes"";""no"";5;4;3;1;1;5;0;""12"";""14"";15",35,0
"GP;""M"";15;""U"";""LE3"";""T"";4;3;""teacher"";""services"";""home"";""mother"";1;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;3;1;1;4;2;""15"";""16"";18",37,0
"GP;""M"";16;""R"";""GT3"";""A"";4;4;""other"";""teacher"";""reputation"";""mother"";2;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";2;4;3;1;1;5;7;""15"";""16"";15",38,0
"GP;""M"";15;""U"";""LE3"";""T"";4;4;""teacher"";""other"";""home"";""other"";1;1;0;""no"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""yes"";5;4;3;2;4;5;8;""12"";""12"";12",42,0
"GP;""M"";15;""U"";""GT3"";""T"";4;4;""services"";""teacher"";""course"";""father"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;1;1;5;2;""19"";""18"";18",43,0
"GP;""M"";15;""U"";""GT3"";""T"";2;2;""services"";""services"";""course"";""father"";1;1;0;""yes"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";5;4;1;1;1;1;0;""8"";""8"";11",44,0
